iter	Passed	Remaining
292	461	1112
293	461	1109
294	462	1105
295	463	1102
296	464	1099
297	465	1095
298	466	1092
299	466	1089
300	467	1085
301	468	1082
302	469	1079
303	470	1076
304	470	1072
305	471	1069
306	472	1067
307	473	1063
308	474	1060
309	475	1057
310	475	1054
311	476	1051
312	477	1048
313	478	1044
314	479	1041
315	479	1038
316	480	1036
317	481	1033
318	482	1029
319	483	1026
320	484	1023
321	484	1020
322	485	1017
323	486	1015
324	487	1012
325	488	1009
326	489	1006
327	489	1003
328	490	1000
329	491	997
330	492	995
331	493	992
332	493	989
333	494	986
334	495	983
335	496	980
336	497	978
337	497	975
338	498	972
339	499	970
340	500	967
341	501	964
342	502	962
343	503	959
344	503	956
345	504	954
346	505	951
347	506	948
348	507	945
349	507	943
350	508	940
351	509	938
352	510	935
353	511	933
354	512	930
355	512	927
356	513	925
357	514	922
358	515	920
359	516	917
360	517	915
361	517	912
362	518	910
363	519	907
364	520	905
365	521	902
366	521	900
367	522	897
368	523	895
369	524	893
370	525	890
371	526	888
372	527	886
373	527	883
374	528	881
375	529	878
376	530	876
377	531	873
378	531	871
379	532	869
380	533	866
381	534	864
382	535	862
383	535	859
384	536	857
385	537	855
386	538	852
387	539	850
388	540	848
389	540	846
390	541	843
391	542	841
392	543	839
393	544	836
394	544	834
395	545	832
396	546	830
397	547	828
398	548	825
399	549	823
400	549	821
401	550	819
402	551	816
403	552	814
404	553	812
405	553	810
406	554	808
407	555	806
408	569	822
409	587	845
410	590	846
411	591	844
412	592	841
413	593	839
414	593	837
415	594	834
416	595	832
417	596	830
418	597	828
419	598	825
420	598	823
421	599	821
422	600	819
423	601	816
424	602	814
425	602	812
426	603	810
427	604	807
428	605	805
429	606	803
430	606	801
431	607	798
432	608	796
433	609	794
434	610	792
435	610	790
436	611	788
437	612	786
438	613	783
439	614	781
440	614	779
441	615	777
442	616	775
443	617	773
444	618	770
445	619	768
446	619	766
447	620	764
448	621	762
449	622	760
450	623	758
451	623	756
452	624	754
453	625	752
454	626	750
455	627	748
456	627	745
457	628	743
458	629	741
459	630	739
460	631	737
461	632	736
462	633	734
463	634	732
464	634	730
465	635	728
466	636	726
467	637	724
468	638	722
469	639	720
470	639	718
471	640	716
472	641	714
473	642	712
474	643	710
475	643	708
476	644	706
477	645	705
478	646	703
479	647	701
480	648	699
481	649	697
482	649	695
483	650	693
484	651	691
485	652	690
486	653	688
487	654	686
488	654	684
489	655	682
490	656	680
491	657	678
492	658	677
493	659	675
494	660	673
495	660	671
496	661	669
497	662	667
498	663	666
499	664	664
500	665	662
501	665	660
502	666	658
503	667	656
504	668	655
505	669	653
506	670	651
507	670	649
508	671	647
509	672	646
510	673	644
511	674	642
512	674	640
513	675	638
514	676	637
515	677	635
516	678	633
517	679	631
518	680	630
519	680	628
520	681	626
521	682	624
522	683	623
523	684	621
524	684	619
525	685	617
526	686	616
527	687	614
528	688	612
529	689	611
530	689	609
531	690	607
532	691	605
533	692	604
534	693	602
535	694	600
536	694	599
537	695	597
538	696	595
539	697	593
540	697	592
541	698	590
542	699	588
543	700	587
544	701	585
545	702	583
546	702	582
547	703	580
548	704	578
549	705	577
550	706	575
551	706	573
552	707	572
553	708	570
554	709	568
555	710	567
556	711	565
557	712	563
558	712	562
559	713	560
560	714	558
561	715	557
562	716	555
563	716	554
564	717	552
565	718	551
566	719	549
567	720	547
568	721	546
569	722	544
570	722	543
571	723	541
572	724	539
573	725	538
574	726	536
575	727	535
576	727	533
577	728	532
578	729	530
579	730	528
580	731	527
581	732	525
582	732	524
583	733	522
584	734	521
585	735	519
586	736	517
587	737	516
588	738	515
589	739	513
590	739	512
591	740	510
592	741	508
593	742	507
594	743	505
595	743	504
596	744	502
597	745	501
598	746	499
599	747	498
600	748	496
601	749	495
602	749	493
603	750	492
604	751	490
605	752	489
606	753	487
607	754	486
608	755	484
609	755	483
610	756	481
611	757	480
612	758	478
613	759	477
614	760	475
615	760	474
616	761	472
617	762	471
618	763	469
619	764	468
620	765	466
621	765	465
622	766	464
623	767	462
624	768	461
625	769	459
626	770	458
627	771	456
628	771	455
629	772	453
630	773	452
631	774	451
632	775	449
633	776	448
634	777	446
635	778	445
636	778	443
637	779	442
638	780	440
639	781	439
640	782	438
641	783	436
642	783	435
643	784	433
644	785	432
645	786	430
646	787	429
647	787	427
648	788	426
649	789	425
650	790	423
651	813	433
652	831	441
653	832	440
654	833	438
655	833	437
656	834	435
657	835	434
658	836	432
659	837	431
660	838	429
661	838	428
662	839	426
663	840	425
664	841	423
665	842	422
666	843	420
667	843	419
668	844	417
669	845	416
670	846	414
671	847	413
672	847	411
673	848	410
674	849	409
675	850	407
676	851	406
677	851	404
678	852	403
679	853	401
680	854	400
681	855	398
682	855	397
683	856	395
684	857	394
685	858	392
686	859	391
687	859	389
688	860	388
689	861	387
690	862	385
691	863	384
692	863	382
693	864	381
694	865	379
695	866	378
696	867	376
697	867	375
698	868	374
699	869	372
700	870	371
701	870	369
702	871	368
703	872	366
704	873	365
705	874	364
706	875	362
707	876	361
708	876	359
709	877	358
710	878	357
711	879	355
712	880	354
713	881	352
714	881	351
715	882	350
716	883	348
717	884	347
718	885	345
719	885	344
720	886	343
721	887	341
722	888	340
723	889	338
724	890	337
725	890	336
726	891	334
727	892	333
728	893	332
729	893	330
730	894	329
731	895	327
732	896	326
733	897	325
734	898	323
735	898	322
736	899	321
737	900	319
738	901	318
739	902	316
740	902	315
741	903	314
742	904	312
743	905	311
744	906	310
745	907	308
746	907	307
747	908	306
748	909	304
749	910	303
750	911	302
751	911	300
752	912	299
753	913	298
754	914	296
755	915	295
756	915	293
757	916	292
758	917	291
759	918	289
760	919	288
761	919	287
762	920	285
763	921	284
764	922	283
765	922	281
766	923	280
767	924	279
768	925	277
769	925	276
770	926	275
771	927	273
772	928	272
773	929	271
774	929	269
775	930	268
776	931	267
777	932	266
778	933	264
779	933	263
780	934	262
781	935	260
782	936	259
783	937	258
784	937	256
785	938	255
786	939	254
787	940	252
788	940	251
789	941	250
790	942	249
791	943	247
792	944	246
793	944	245
794	945	243
795	946	242
796	947	241
797	948	239
798	948	238
799	949	237
800	950	236
801	951	234
802	951	233
803	952	232
804	953	230
805	954	229
806	955	228
807	955	227
808	956	225
809	957	224
810	958	223
811	959	222
812	959	220
813	960	219
814	961	218
815	962	216
816	963	215
817	963	214
818	964	213
819	965	211
820	966	210
821	967	209
822	967	208
823	968	206
824	969	205
825	970	204
826	971	203
827	971	201
828	972	200
829	973	199
830	974	198
831	974	196
832	975	195
833	976	194
834	977	193
835	978	191
836	978	190
837	979	189
838	980	188
839	981	186
840	982	185
841	982	184
842	983	183
843	984	181
844	985	180
845	986	179
846	986	178
847	987	177
848	988	175
849	989	174
850	990	173
851	990	172
852	991	170
853	992	169
854	993	168
855	993	167
856	994	165
857	995	164
858	996	163
859	997	162
860	997	161
861	998	159
862	999	158
863	1000	157
864	1000	156
865	1001	155
866	1002	153
867	1003	152
868	1004	151
869	1004	150
870	1005	148
871	1006	147
872	1007	146
873	1008	145
874	1008	144
875	1009	142
876	1010	141
877	1011	140
878	1011	139
879	1012	138
880	1013	136
881	1014	135
882	1016	134
883	1017	133
884	1018	132
885	1019	131
886	1019	129
887	1020	128
888	1021	127
889	1022	126
890	1023	125
891	1023	123
892	1024	122
893	1025	121
894	1026	120
895	1026	119
896	1027	118
897	1028	116
898	1029	115
899	1056	117
900	1072	117
901	1073	116
902	1074	115
903	1075	114
904	1076	112
905	1077	111
906	1078	110
907	1079	109
908	1080	108
909	1081	106
910	1082	105
911	1084	104
912	1085	103
913	1086	102
914	1087	101
915	1088	99
916	1089	98
917	1090	97
918	1091	96
919	1092	94
920	1093	93
921	1094	92
922	1095	91
923	1096	90
924	1097	89
925	1098	87
926	1099	86
927	1100	85
928	1101	84
929	1102	82
930	1103	81
931	1104	80
932	1105	79
933	1106	78
934	1107	76
935	1108	75
936	1109	74
937	1110	73
938	1111	72
939	1112	70
940	1113	69
941	1114	68
942	1116	67
943	1117	66
944	1118	65
945	1119	63
946	1120	62
947	1121	61
948	1122	60
949	1122	59
950	1123	57
951	1124	56
952	1125	55
953	1126	54
954	1127	53
955	1128	51
956	1129	50
957	1130	49
958	1131	48
959	1132	47
960	1133	45
961	1134	44
962	1135	43
963	1136	42
964	1137	41
965	1138	40
966	1138	38
967	1139	37
968	1140	36
969	1141	35
970	1142	34
971	1143	32
972	1144	31
973	1145	30
974	1146	29
975	1146	28
976	1147	27
977	1148	25
978	1149	24
979	1150	23
980	1151	22
981	1152	21
982	1153	19
983	1154	18
984	1155	17
985	1156	16
986	1157	15
987	1158	14
988	1159	12
989	1160	11
990	1161	10
991	1162	9
992	1163	8
993	1164	7
994	1165	5
995	1166	4
996	1166	3
997	1167	2
998	1168	1
999	1169	0
